id,date,client_id,item_id,item_name,quantity,unit_price,tax_percentage,total_product,total
2304,2026-04-01,1240,665,COLLAR T XS-S 10MM 20-35CM NARANJA NYLON,1.0,15126.05042,19.0,15126.05042,101700.0
2304,2026-04-01,1240,689,COLLAR T XS 10 MM 20-35 CMS AZUL C NYLON,1.0,15126.0,19.0,15126.0,101700.0
2304,2026-04-01,1240,2126,PLACA IDENT CIRCULO PEQUEÑO ALUMINIO GRIS BASIC,1.0,25210.084034,19.0,25210.084034,101700.0
2304,2026-04-01,1240,2069,PLACA IDENT HUESO PEQUEÑO LATON DORADO BASIC,1.0,25210.084034,19.0,25210.084034,101700.0
2304,2026-04-01,1240,1392,TRAQUEA RECORTE DESHIDRATADA X 50 GR,1.0,5429.0,5.0,5429.0,101700.0
2303,2026-04-01,1239,2656,BEFF JERKY X 100GR,1.0,11142.857143,5.0,11142.857143,58600.0
2303,2026-04-01,1239,1599,HYDRA GROOMERS COLOGNE FOREVER CANDY 130 ML,1.0,39412.0,19.0,39412.0,58600.0
2302,2026-04-01,1218,321,TOW LOWLAND CREEK FELINE X 5 LB,1.0,90190.0,5.0,90190.0,94700.0
2301,2026-04-01,1213,2748,MASTICABLE DE MADERA CAFE - MITAD M,1.0,12900.0,0.0,12900.0,45900.0
2301,2026-04-01,1213,2745,MASTICABLE DE MADERA CAFE - S,1.0,12900.0,0.0,12900.0,45900.0
2301,2026-04-01,1213,2655,"TRAQUEA 6""",2.0,6857.142857,5.0,13714.285714,45900.0
2301,2026-04-01,1213,1392,TRAQUEA RECORTE DESHIDRATADA X 50 GR,1.0,5429.0,5.0,5429.0,45900.0
2300,2026-04-01,886,1794,MALETA CARGADOR PERRO BEAUTY M,1.0,168907.563025,19.0,168907.563025,201000.0
2299,2026-04-01,785,2355,CHEF GUAU ESPECIAL,1.0,24761.904762,5.0,24761.904762,110000.0
2299,2026-04-01,785,2356,CHEF GUAU RES,3.0,26666.666667,5.0,80000.00000100001,110000.0
2298,2026-03-31,1238,2652,OREJA DE RES MINI,2.0,3523.809524,5.0,7047.619048,111600.0
2298,2026-03-31,1238,2091,PLACA IDENT CORAZON PEQUEÑO ALUMINIO ROSA BASIC,1.0,21008.0,19.0,21008.0,111600.0
2298,2026-03-31,1238,2621,RENOVAPET ENJUAGUE BUCAL,1.0,45630.252101,19.0,45630.252101,111600.0
2298,2026-03-31,1238,1281,COLLAR AJUSTABLE MYLU M 3QT,1.0,20924.369748,19.0,20924.369748,111600.0
2297,2026-03-31,200,2355,CHEF GUAU ESPECIAL,2.0,24761.904762,5.0,49523.809524,108000.0
2297,2026-03-31,200,2356,CHEF GUAU RES,1.0,26666.666667,5.0,26666.666667,108000.0
2297,2026-03-31,200,2359,CHEF GUAU CERDO,1.0,26666.666667,5.0,26666.666667,108000.0
