id,name,reference,status,price,category_id,available_quantity,iva_percentage,iva,total_sold_quantity,total_revenue
527,ABSORBENTE DE ORINA,,inactive,10000.0,5063,0.0,19.0,1900.0,0.0,0.0
142,ACEITE LUBRICANTE 120 ML,,inactive,23109.0,5063,0.0,19.0,4390.71,0.0,0.0
56,ACONDICIONADOR CREMA PROTEIN VITAL 100 ML ARTERO,,inactive,58176.0,5063,0.0,19.0,11053.44,0.0,0.0
2335,ACONDICIONADOR HIDRATANTE PELUNOS,,inactive,50420.0,5063,0.0,19.0,9579.8,0.0,0.0
2331,ALANA BANDANA L,,active,25210.0,5063,0.0,19.0,4789.9,1.0,25210.0
2330,ALANA BANDANA M,,active,25210.0,5063,2.0,19.0,4789.9,2.0,50420.0
2329,ALANA BANDANA S,,active,25210.0,5063,6.0,19.0,4789.9,3.0,75630.0
2328,ALANA BANDANA XS,,active,25210.0,5063,1.0,19.0,4789.9,3.0,75630.0
1831,ALFORJAS DOG SCOUT,,inactive,116806.0,5063,0.0,19.0,22193.14,0.0,0.0
1448,ALITAS DE POLLO,,inactive,476.0,5063,0.0,5.0,23.8,0.0,0.0
1788,ALMOHAZA PARA PERRO GRO 5933,,active,28151.0,5063,0.0,19.0,5348.69,0.0,0.0
474,AMARRE MULTIUSOS GRANDE,,active,40000.0,5063,0.0,19.0,7600.0,0.0,0.0
598,AQUADOG X206,,inactive,13866.0,5063,0.0,19.0,2634.54,0.0,0.0
1120,ARENA PETYS 4.5 KG,,inactive,30252.0,5063,0.0,19.0,5747.88,0.0,0.0
2225,ARENA PREMIUM PATIMAX 6L LAVANDA 4.8KG,,inactive,41640.0,5063,0.0,19.0,7911.6,0.0,0.0
1071,ARENA ROYAL CAT SIN AROMA BOLSA X 5KG,,inactive,32192.0,5063,0.0,19.0,6116.48,0.0,0.0
1068,ARENA ROYAL CAT AROMA TALCO BEBE TARRO X 6.35 KG,,inactive,26122.0,5063,0.0,19.0,4963.18,0.0,0.0
1072,ARENA ROYAL CAT LAVANDA 5 KG,,active,19893.0,5063,1.0,19.0,3779.67,5.0,140481.235295
1069,ARENA ROYAL CAT TARRO SIN AROMA X 6.35 KG,,inactive,26672.0,5063,0.0,19.0,5067.68,0.0,0.0
1070,ARENA ROYAL TALCO DE BEBE X 5 KG,,inactive,19893.0,5063,0.0,19.0,3779.67,0.0,0.0
922,ARENERA ARISTO TRAY L AZUL OSCURO,,inactive,43438.0,5063,0.0,19.0,8253.22,0.0,0.0
251,ARENERA BOX,,active,69328.0,5063,1.0,19.0,13172.32,3.0,207984.0
2037,ARENERA CLEAR CAT 20 NEGRO,,active,102269.0,5063,3.0,19.0,19431.11,1.0,102269.0
833,ARENERA CON CERNIDOR GRIS,,inactive,106398.0,5063,0.0,19.0,20215.62,0.0,0.0
925,ARENERA CON CERNIDOR GRIS XL,,inactive,93083.0,5063,0.0,19.0,17685.77,0.0,0.0
793,ARENERA ESQUINERA AZUL OSCURO - P5,,inactive,76923.0,5063,0.0,19.0,14615.37,0.0,0.0
841,ARENERA ESQUINERA FUSCIA - P5,,inactive,76923.0,5063,0.0,19.0,14615.37,0.0,0.0
792,ARENERA ESQUINERA GRIS CLARO,,active,114033.613445,5063,1.0,19.0,21666.39,0.0,0.0
791,ARENERA ESQUINERA GRIS CLARO - P5,,inactive,76923.0,5063,0.0,19.0,14615.37,0.0,0.0
794,ARENERA ESQUINERA VERDE LIMON,,inactive,103534.0,5063,0.0,19.0,19671.46,0.0,0.0
795,ARENERA ESQUINERA VERDE LIMON - P5,,inactive,76923.0,5063,0.0,19.0,14615.37,0.0,0.0
1087,ARENERA ESTILO ITALIANO,,active,109663.0,5063,1.0,19.0,20835.97,0.0,0.0
788,ARENERA FLIP CAT 39 LARGE AZUL,,inactive,75923.0,5063,0.0,19.0,14425.37,0.0,0.0
840,ARENERA FLIP CAT 39 LARGE FUCSIA,,inactive,75923.0,5063,0.0,19.0,14425.37,0.0,0.0
2620,ARENERA FLIP CAT 39 LARGE NARANJA,,active,108151.260504,5063,0.0,19.0,20548.74,1.0,108151.260504
783,ARENERA FLIP CAT JUMBO 43.9 VERDE,,inactive,159664.0,5063,0.0,19.0,30336.16,0.0,0.0
926,ARENERA GATO ARISTO TRAY L AZUL OSCURO,,inactive,38655.0,5063,0.0,19.0,7344.45,0.0,0.0
921,ARENERA GATO ARISTO TRAY L GRIS,,active,50672.0,5063,0.0,19.0,9627.68,1.0,50672.0
842,ARENERA GATO ARISTO TRAY L HOT PINK,,active,50672.0,5063,0.0,19.0,9627.68,2.0,105293.84873900001
920,ARENERA GATO ARISTO TRAY L VERDE LIMON,,inactive,38655.0,5063,0.0,19.0,7344.45,0.0,0.0
1101,ARENERA GATO CLEAR CAT 10 NEGRO,,inactive,55081.0,5063,0.0,19.0,10465.39,0.0,0.0
1102,ARENERA GATO CLEAR CAT 10 ROJO,,inactive,55081.0,5063,0.0,19.0,10465.39,0.0,0.0
1769,ARENERA GATO MAXI BELLA CABRIO,,inactive,173367.0,5063,0.0,19.0,32939.73,0.0,0.0
1728,ARENERA GATO MODERNA,,inactive,59159.0,5063,0.0,19.0,11240.21,0.0,0.0
