FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/04/2023,675475.0,64094.0,739569,1287475,612000.0
03/04/2023,0.0,0.0,0,774000,774000.0
04/04/2023,1043606.0,106304.0,1149910,1584606,541000.0
05/04/2023,690895.0,100076.0,790971,1484895,794000.0
10/04/2023,376197.0,43258.0,419455,1020197,644000.0
11/04/2023,221379.0,23904.0,245283,633379,412000.0
12/04/2023,181210.0,19672.0,200882,480210,299000.0
13/04/2023,231486.0,14364.0,245850,735486,504000.0
14/04/2023,29186.0,5545.0,34731,573186,544000.0
15/04/2023,307291.0,39674.0,346965,1068291,761000.0
17/04/2023,495838.0,69634.0,565472,906838,411000.0
18/04/2023,250029.0,25509.0,275538,719029,469000.0
19/04/2023,101059.0,19135.0,120194,661059,560000.0
20/04/2023,241894.0,27423.0,269317,597894,356000.0
21/04/2023,382977.0,63297.0,446274,973977,591000.0
22/04/2023,86783.0,8206.0,94989,650783,564000.0
24/04/2023,682102.0,40637.0,722739,1140102,458000.0
25/04/2023,142156.0,22844.0,165000,397156,255000.0
26/04/2023,261180.0,45131.0,306311,574180,313000.0
27/04/2023,309780.0,42989.0,352769,797780,488000.0
28/04/2023,1147698.0,99629.0,1247327,1577698,430000.0
29/04/2023,371957.0,52784.0,424741,959957,588000.0
