FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/02/2023,355586.0,52040.0,407626.0,777586.0,422000.0
02/02/2023,1018717.0,90890.0,1109607.0,1475717.0,457000.0
03/02/2023,102859.0,11849.0,114708.0,519859.0,417000.0
04/02/2023,291936.0,20450.0,312386.0,611936.0,320000.0
06/02/2023,607970.0,84893.0,692863.0,1075970.0,468000.0
07/02/2023,643946.0,61893.0,705839.0,1144946.0,501000.0
08/02/2023,577155.0,52138.0,629293.0,1095155.0,518000.0
09/02/2023,211958.0,34928.0,246886.0,648958.0,437000.0
10/02/2023,143076.0,22441.0,165517.0,697076.0,554000.0
11/02/2023,405278.0,38934.0,444212.0,1012278.0,607000.0
13/02/2023,357296.0,15053.0,372349.0,739296.0,382000.0
14/02/2023,47445.0,2373.0,49818.0,489445.0,442000.0
15/02/2023,239090.0,13773.0,252863.0,943090.0,704000.0
16/02/2023,479857.0,62912.0,542769.0,1099857.0,620000.0
17/02/2023,354533.0,52630.0,407163.0,683533.0,329000.0
18/02/2023,223551.0,29016.0,252567.0,810551.0,587000.0
20/02/2023,521568.0,86163.0,607731.0,880568.0,359000.0
21/02/2023,312079.0,11332.0,323411.0,592079.0,280000.0
22/02/2023,366524.0,36656.0,403180.0,643524.0,277000.0
23/02/2023,105628.0,5284.0,110912.0,413628.0,308000.0
24/02/2023,222117.0,13598.0,235715.0,628117.0,406000.0
25/02/2023,186521.0,20936.0,207457.0,622521.0,436000.0
27/02/2023,308883.0,31408.0,340291.0,816883.0,508000.0
28/02/2023,352305.0,32225.0,384530.0,750305.0,398000.0
