FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/06/2023,294145.0,29936.0,324081.0,845145.0,551000.0
02/06/2023,471994.0,40814.0,512808.0,837994.0,366000.0
03/06/2023,387951.0,36187.0,424138.0,1003951.0,616000.0
05/06/2023,421567.0,37519.0,459086.0,875567.0,454000.0
06/06/2023,140555.0,12493.0,153048.0,624555.0,484000.0
07/06/2023,192451.0,5318.0,197769.0,687451.0,495000.0
08/06/2023,200458.0,14476.0,214934.0,865458.0,665000.0
09/06/2023,13738.0,2610.0,16348.0,526738.0,513000.0
10/06/2023,74449.0,2540.0,76989.0,589449.0,515000.0
13/06/2023,247674.0,29400.0,277074.0,879674.0,632000.0
14/06/2023,110075.0,7833.0,117908.0,644075.0,534000.0
15/06/2023,22710.0,1135.0,23845.0,187710.0,165000.0
16/06/2023,405916.0,70795.0,476711.0,942916.0,537000.0
17/06/2023,238663.0,19317.0,257980.0,868663.0,630000.0
20/06/2023,1637334.0,242198.0,1879532.0,2287334.0,650000.0
21/06/2023,485669.0,68227.0,553896.0,1063669.0,578000.0
22/06/2023,349204.0,38382.0,387586.0,770204.0,421000.0
23/06/2023,150106.0,10981.0,161087.0,592106.0,442000.0
24/06/2023,172973.0,11001.0,183974.0,783973.0,611000.0
26/06/2023,220487.0,25708.0,246195.0,708487.0,488000.0
27/06/2023,394845.0,45596.0,440441.0,976845.0,582000.0
28/06/2023,122584.0,9613.0,132197.0,428584.0,306000.0
29/06/2023,79271.0,14575.0,93846.0,552271.0,473000.0
30/06/2023,256341.0,41093.0,297434.0,720341.0,464000.0
