FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
02/07/2024,216659.0,10845.0,227504.0,732659.0,516000.0
03/07/2024,316912.0,21318.0,338230.0,872912.0,556000.0
04/07/2024,263129.0,20061.0,283190.0,809129.0,546000.0
05/07/2024,105387.0,9375.0,114762.0,647387.0,542000.0
06/07/2024,256869.0,35245.0,292114.0,879869.0,623000.0
08/07/2024,216845.0,11262.0,228107.0,584845.0,368000.0
09/07/2024,345821.0,46423.0,392244.0,746821.0,401000.0
10/07/2024,135575.0,13578.0,149153.0,685575.0,550000.0
11/07/2024,107840.0,5392.0,113232.0,573840.0,466000.0
12/07/2024,764476.0,59548.0,824024.0,1196476.0,432000.0
13/07/2024,256927.0,25336.0,282263.0,964927.0,708000.0
15/07/2024,106677.0,15245.0,121922.0,527677.0,421000.0
16/07/2024,238387.0,25002.0,263389.0,689387.0,451000.0
17/07/2024,439380.0,32825.0,472205.0,870380.0,431000.0
18/07/2024,239220.0,25968.0,265188.0,703220.0,464000.0
19/07/2024,266667.0,30906.0,297573.0,748667.0,482000.0
22/07/2024,347140.0,18062.0,365202.0,881140.0,534000.0
23/07/2024,169237.0,8461.0,177698.0,696237.0,527000.0
24/07/2024,209128.0,22601.0,231729.0,887128.0,678000.0
25/07/2024,120818.0,6040.0,126858.0,736818.0,616000.0
26/07/2024,162251.0,8112.0,170363.0,989251.0,827000.0
27/07/2024,492512.0,39492.0,532004.0,978512.0,486000.0
29/07/2024,136914.0,24081.0,160995.0,650914.0,514000.0
30/07/2024,157269.0,18841.0,176110.0,777269.0,620000.0
31/07/2024,235041.0,33457.0,268498.0,785041.0,550000.0
