FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/05/2024,90190.0,4510.0,94700.0,90190.0,0.0
02/05/2024,95637.0,11345.0,106982.0,509637.0,414000.0
03/05/2024,429620.0,49433.0,479053.0,951620.0,522000.0
04/05/2024,281038.0,18407.0,299445.0,813038.0,532000.0
06/05/2024,118020.0,18030.0,136050.0,517020.0,399000.0
07/05/2024,148348.0,8952.0,157300.0,453348.0,305000.0
08/05/2024,89383.0,16982.0,106365.0,544383.0,455000.0
09/05/2024,497571.0,51079.0,548650.0,822571.0,325000.0
10/05/2024,258347.0,45820.0,304167.0,767347.0,509000.0
11/05/2024,135658.0,21641.0,157299.0,768658.0,633000.0
14/05/2024,358565.0,55937.0,414502.0,741565.0,383000.0
15/05/2024,623124.0,58170.0,681294.0,1188124.0,565000.0
16/05/2024,493032.0,17668.0,510700.0,919032.0,426000.0
17/05/2024,113523.0,5677.0,119200.0,554523.0,441000.0
18/05/2024,403242.0,39976.0,443218.0,1032242.0,629000.0
20/05/2024,348737.0,22281.0,371018.0,608737.0,260000.0
21/05/2024,233406.0,37211.0,270617.0,628406.0,395000.0
22/05/2024,46190.0,2310.0,48500.0,461190.0,415000.0
23/05/2024,284808.0,52779.0,337587.0,552808.0,268000.0
24/05/2024,52745.0,8155.0,60900.0,466745.0,414000.0
25/05/2024,224615.0,20462.0,245077.0,846615.0,622000.0
27/05/2024,324765.0,47038.0,371803.0,720765.0,396000.0
28/05/2024,179595.0,10605.0,190200.0,594595.0,415000.0
29/05/2024,253412.0,19084.0,272496.0,728412.0,475000.0
30/05/2024,72280.0,7493.0,79773.0,439000.0,440000.0
31/05/2024,381247.0,29051.0,410298.0,820247.0,439000.0
