FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/11/2024,472745.0,32790.0,505535.0,969745.0,497000.0
02/11/2024,202333.0,14734.0,217067.0,921333.0,719000.0
05/11/2024,743954.0,34678.0,778632.0,1450954.0,707000.0
06/11/2024,209919.0,10496.0,220415.0,904919.0,695000.0
07/11/2024,368997.0,42253.0,411250.0,741997.0,373000.0
08/11/2024,291359.0,41040.0,332399.0,1069359.0,778000.0
09/11/2024,809719.0,131988.0,941707.0,949000.0,949000.0
12/11/2024,584910.0,5844.0,590754.0,921910.0,337000.0
13/11/2024,333575.0,45621.0,379196.0,1098575.0,765000.0
14/11/2024,312645.0,52977.0,365622.0,823645.0,511000.0
15/11/2024,545650.0,60821.0,606471.0,1319650.0,774000.0
16/11/2024,463953.0,65129.0,529082.0,1574953.0,1111000.0
18/11/2024,365238.0,26762.0,392000.0,902238.0,537000.0
19/11/2024,360825.0,36365.0,397190.0,1023825.0,663000.0
20/11/2024,148494.0,13307.0,161801.0,354494.0,206000.0
21/11/2024,844706.0,86180.0,930886.0,1087706.0,243000.0
22/11/2024,543590.0,84124.0,627714.0,789590.0,246000.0
23/11/2024,432216.0,25256.0,457472.0,1314216.0,882000.0
25/11/2024,134102.0,25013.0,159115.0,574102.0,440000.0
26/11/2024,244516.0,26932.0,271448.0,964516.0,720000.0
27/11/2024,233954.0,59623.0,293577.0,630954.0,397000.0
28/11/2024,414005.0,53484.0,467489.0,1200005.0,786000.0
29/11/2024,675373.0,62737.0,738110.0,1480373.0,805000.0
30/11/2024,522191.0,26000.0,548191.0,1640191.0,1118000.0
