FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/08/2025,556017.0,47418.0,603435.0,1248435.0,645000.0
02/08/2025,578259.0,51185.0,629444.0,1449444.0,820000.0
04/08/2025,322824.0,51590.0,374414.0,1031414.0,657000.0
05/08/2025,133440.0,11661.0,145101.0,638440.0,505000.0
06/08/2025,159027.0,7951.0,166978.0,884027.0,725000.0
08/08/2025,361355.0,38044.0,399399.0,964355.0,603000.0
09/08/2025,191330.0,9567.0,200897.0,871330.0,680000.0
11/08/2025,390469.0,48923.0,439392.0,795469.0,405000.0
12/08/2025,22571.0,1129.0,23700.0,442571.0,420000.0
13/08/2025,0.0,0.0,0.0,210000.0,210000.0
14/08/2025,,,,247000.0,247000.0
15/08/2025,955829.0,146593.0,1102422.0,955829.0,320000.0
16/08/2025,246595.0,20565.0,267160.0,671595.0,425000.0
19/08/2025,113388.0,12610.0,125998.0,418388.0,305000.0
20/08/2025,256279.0,6024.0,262303.0,656279.0,400000.0
21/08/2025,167927.0,762.0,168689.0,427927.0,260000.0
22/08/2025,186447.0,19028.0,205475.0,751447.0,565000.0
23/08/2025,112431.0,12699.0,125130.0,802431.0,690000.0
25/08/2025,115403.0,15542.0,130945.0,300403.0,185000.0
26/08/2025,132195.0,11904.0,144099.0,812195.0,680000.0
27/08/2025,227953.0,27258.0,255211.0,647953.0,420000.0
28/08/2025,115809.0,5790.0,121599.0,440809.0,325000.0
29/08/2025,252269.0,47131.0,299400.0,957269.0,705000.0
30/08/2025,240327.0,7071.0,247398.0,1052327.0,812000.0
