FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
03/01/2025,205422.0,30632.0,236054.0,460422.0,255000.0
04/01/2025,305920.0,23828.0,329748.0,940920.0,635000.0
07/01/2025,9714.0,486.0,10200.0,324714.0,315000.0
08/01/2025,248235.0,13462.0,261697.0,1013235.0,765000.0
09/01/2025,117125.0,12774.0,129899.0,852125.0,735000.0
10/01/2025,285123.0,28374.0,313497.0,720123.0,435000.0
11/01/2025,85068.0,12829.0,97897.0,777068.0,692000.0
13/01/2025,147642.0,7197.0,154839.0,612642.0,465000.0
14/01/2025,251608.0,14085.0,265693.0,706608.0,455000.0
15/01/2025,152065.0,11133.0,163198.0,693065.0,541000.0
16/01/2025,53174.0,6044.0,59218.0,933174.0,880000.0
17/01/2025,174521.0,10126.0,184647.0,829521.0,655000.0
18/01/2025,272211.0,45423.0,317634.0,1122211.0,850000.0
20/01/2025,162526.0,18027.0,180553.0,622526.0,460000.0
21/01/2025,297328.0,18399.0,315727.0,772328.0,475000.0
22/01/2025,118565.0,5928.0,124493.0,421565.0,303000.0
23/01/2025,191070.0,9895.0,200965.0,741070.0,550000.0
24/01/2025,322845.0,22531.0,345376.0,907845.0,585000.0
25/01/2025,431636.0,25891.0,457527.0,1471636.0,1040000.0
27/01/2025,0.0,0.0,0.0,345000.0,345000.0
28/01/2025,420176.0,38532.0,458708.0,1343176.0,923000.0
29/01/2025,180143.0,17407.0,197550.0,833143.0,653000.0
30/01/2025,90284.0,4514.0,94798.0,593284.0,503000.0
31/01/2025,25375.0,4821.0,30196.0,515375.0,490000.0
