FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/10/2025,157116.0,14959.0,172075.0,622116.0,465000.0
02/10/2025,201199.0,34801.0,236000.0,556199.0,355000.0
03/10/2025,121329.0,12455.0,133784.0,484199.0,283000.0
04/10/2025,112008.0,6782.0,118790.0,777008.0,665000.0
06/10/2025,6667.0,333.0,7000.0,344667.0,338000.0
07/10/2025,164046.0,8202.0,172248.0,649046.0,485000.0
08/10/2025,330778.0,16539.0,347317.0,685778.0,355000.0
09/10/2025,612148.0,31837.0,643985.0,957148.0,345000.0
10/10/2025,213486.0,19813.0,233299.0,713486.0,500000.0
11/10/2025,0.0,0.0,0.0,415000.0,415000.0
14/10/2025,334527.0,23750.0,358277.0,444527.0,110000.0
15/10/2025,49748.0,6052.0,55800.0,69748.0,20000.0
16/10/2025,479453.0,54406.0,533859.0,1174453.0,695000.0
17/10/2025,263418.0,48583.0,312001.0,708418.0,445000.0
18/10/2025,290066.0,26853.0,316919.0,895066.0,605000.0
20/10/2025,230231.0,25135.0,255366.0,360231.0,130000.0
21/10/2025,133836.0,13536.0,147372.0,633836.0,500000.0
22/10/2025,33529.0,6371.0,39900.0,333529.0,300000.0
23/10/2025,432759.0,41037.0,473796.0,912759.0,480000.0
24/10/2025,72436.0,3963.0,76399.0,532436.0,460000.0
25/10/2025,204109.0,10755.0,214864.0,789109.0,585000.0
27/10/2025,62762.0,11138.0,73900.0,532762.0,470000.0
28/10/2025,220523.0,17074.0,237597.0,765523.0,545000.0
29/10/2025,127640.0,18135.0,145775.0,652640.0,525000.0
30/10/2025,200340.0,25158.0,225498.0,752340.0,552000.0
31/10/2025,4762.0,238.0,5000.0,664762.0,660000.0
