FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/09/2025,380014.0,48950.0,428964.0,975014.0,595000.0
02/09/2025,353403.0,53411.0,406814.0,818403.0,465000.0
03/09/2025,103361.0,19639.0,123000.0,688361.0,585000.0
04/09/2025,479978.0,34158.0,514136.0,771978.0,292000.0
05/09/2025,185587.0,16908.0,202495.0,965587.0,780000.0
06/09/2025,142883.0,7615.0,150498.0,667883.0,525000.0
08/09/2025,237088.0,17760.0,254848.0,972088.0,735000.0
10/09/2025,0.0,0.0,0.0,365000.0,365000.0
11/09/2025,85198.0,4202.0,89400.0,770198.0,685000.0
12/09/2025,221453.0,24236.0,245689.0,461453.0,240000.0
13/09/2025,251898.0,22344.0,274242.0,876898.0,625000.0
15/09/2025,112855.0,5643.0,118498.0,637855.0,525000.0
16/09/2025,70952.0,3548.0,74500.0,565952.0,495000.0
17/09/2025,320856.0,57536.0,378392.0,770856.0,450000.0
18/09/2025,26095.0,1305.0,27400.0,386095.0,360000.0
19/09/2025,553023.0,90811.0,643834.0,1126023.0,573000.0
20/09/2025,205768.0,13781.0,219549.0,1055768.0,850000.0
22/09/2025,193385.0,20944.0,214329.0,463385.0,270000.0
23/09/2025,217717.0,8804.0,226521.0,782717.0,565000.0
24/09/2025,71474.0,2726.0,74200.0,456474.0,385000.0
25/09/2025,149956.0,12892.0,162848.0,449956.0,300000.0
26/09/2025,329070.0,19177.0,348247.0,1019070.0,690000.0
27/09/2025,150744.0,19055.0,169799.0,850744.0,700000.0
29/09/2025,7429.0,371.0,7800.0,437429.0,430000.0
30/09/2025,118794.0,8651.0,127445.0,478794.0,360000.0
